Model,RMSE_aqi_index,MAE_aqi_index,R²_aqi_index,RMSE_Calculated_AQI,MAE_Calculated_AQI,R²_Calculated_AQI,Avg_RMSE
Random_Forest,0.36500718109324537,0.2305995909304157,0.8524611720320252,9.905600113371687,1.7958317816927203,0.9895172138590425,5.135303647232466
Gradient_Boosting,0.0468664827238433,0.017786930155804608,0.9975676378627355,8.288286361806254,3.538700587065965,0.9926608690323291,4.167576422265048
Linear_Regression,0.5862031496186056,0.46904970513294,0.6194604444090197,81.91650677504626,57.874438315894594,0.283100973304527,41.251354962332435
Ridge_Regression,0.5864061049816174,0.4695049042342593,0.6191968978435387,81.98981747360267,57.98813208870612,0.2818172299414684,41.288111789292145
SVR,0.4366372151971908,0.3176266786188023,0.7888724011375661,92.71699601194157,53.81848489299274,0.08159582979739965,46.576816613569385
Neural_Network,2.2318984652782077,1.712813879119586,-4.516357180568883,36.21199438162661,17.701280113954788,0.8599058401109949,19.22194642345241
